#TYPE System.Management.Automation.PSCustomObject
"Ciudad","Estado"
"San José de Gracia","Aguascalientes"
"Calvillo","Aguascalientes"
"Real de Asientos","Aguascalientes"
"Tecate","Baja California"
"Loreto","Baja California Sur"
"Todos Santos","Baja California Sur"
"Palizada","Campeche"
"Palenque","Chiapas"
"Chiapa de Corzo","Chiapas"
"San Cristobal de las Casas","Chiapas"
"Comitán","Chiapas"
"Batopilas","Chihuahua"
"Creel","Chihuahua"
"Casas Grandes","Chihuahua"
"Cuatro Ciénegas","Coahuila"
"Arteaga","Coahuila"
"Candela","Coahuila"
"Parras de la Fuente","Coahuila"
"Viesca","Coahuila"
"Comala","Colima"
"Mapimi","Durango"
"Villa del carbón ","Edo de México"
"Ixtapan de la Sal","Edo de México"
"Aculco","Edo de México"
"San Juan Teotihuacán y San Martín de las Pirámides","Edo de México"
"Guerrero","en Coahuila"
"Dolores Hidalgo","Guanajuato"
"Salvatierra","Guanajuato"
"Jalpa","Guanajuato"
"Yuriria","Guanajuato"
"Mineral de Pozos","Guanajuato"
"Taxco","Guerrero"
"Tecozautla","Hidalgo"
"Mineral del Chico","Hidalgo"
"Real de Monte","Hidalgo"
"Huichapan","Hidalgo"
"Huasca de Ocampo","Hidalgo"
"San Sebastián del Oeste","Jalisco"
"Mascota","Jalisco"
"Tequila","Jalisco"
"Mazamitla","Jalisco"
"Tapalpa","Jalisco"
"Lagos de Moreno","Jalisco"
"Talpa de Allende","Jalisco"
"Valle de Bravo","México"
"El Oro","México"
"Metepec","México"
"Tepotzotlán","México"
"Malinalco","México"
"Tacámbaro","Michoacán"
"Tzintzuntzan","Michoacán"
"Tlalpujahua","Michoacán"
"Pátzcuaro","Michoacán"
"Jiquilpan","Michoacán"
"Cuitzeo","Michoacán"
"Santa Clara del Cobre","Michoacán"
"Mineral de Angangueo","Michoacán"
"Tlayacapan","Morelos"
"Tepoztlán","Morelos"
"Sayulita","Nayarit"
"Jala","Nayarit"
"Linares","nuevo León"
"Santiago","Nuevo León"
"Huautla de Jiménez","Oaxaca"
"San Pedro y San Pablo Teposcolula","Oaxaca"
"San Pablo Villa Mitla","Oaxaca"
"Capulálpam de Méndez","Oaxaca"
"Mazunte","Oaxaca"
"San Pedro Cholula","Puebla"
"Pahuatlán","Puebla"
"Huauchinango","Puebla"
"Atlixco","Puebla"
"Chignahuapan","Puebla"
"Xicotepec","Puebla"
"Tlatlauquitepec","Puebla"
"Cuetzalan del Progreso","Puebla"
"Zacatlán","Puebla"
"Cadereyta de Montes","Querétaro"
"Jalpan de Serra","Querétaro"
"San Joaquín","Querétaro"
"Tequisquiapan","Querétaro"
"Bernal","Querétaro"
"Tulum","Quintana Roo"
"Isla Mujeres","Quintana Roo"
"Bacalar","Quintana Roo"
"Real de Catorce","San Luis Potosi"
"Xilitla","San Luis Potosí"
"El Rosario","Sinaloa"
"Mocorito","Sinaloa"
"El Fuerte","Sinaloa"
"Cosalá","Sinaloa"
"Magdalena de Kino","Sonora"
"Álamos","Sonora"
"Tapijulapa","Tabasco"
"Mier","Tamaulipas"
"Tula","Tamaulipas"
"Tlaxco","Tlaxcala"
"Huamantla","Tlaxcala"
"Coscomatepec","Veracruz"
"Xico","Veracruz"
"Coatepec","Veracruz"
"Zozocolco","Veracruz"
"Papantla","Veracruz"
"Orizaba","Veracruz"
"Izamal","Yucatán"
"Valladolid","Yucatán"
"Nochistlán","Zacatecas"
"Pino","Zacatecas"
"Sombrerete","Zacatecas"
"Jeréz de García Salinas","Zacatecas"
"Teúl de González Ortega","Zacatecas"
